"All requests for information made to the Ministry that were logged as Official Information requests for the period from 1 July 2017 to 30 December 2017, including the date received, date response was sent and the date the response was extended to if applicable.",,,,,,
,,,,,,
Number,Date Received,Date Due to Requestor,Extended Date Due to Requestor,Date Decision Communicated,Revised due date following decision,Date response sent to Requestor
86,8/11/2017,4/12/2017,nil,nil,nil,24/11/2017
87,14/12/2017,2/2/2018,nil,1/2/2018,16/2/2018,7/2/2018
88,10/11/2017,8/12/2017,nil,nil,nil,Answered through data team - date of response not recorded
89,7/11/2017,5/12/2017,nil,nil,nil,28/11/2017
90,27/10/2017,24/11/2017,nil,nil,nil,2/11/2017
91,29/9/2017,30/10/2017,nil,nil,nil,26/10/2017
92,26/7/2017,23/8/2017,nil,nil,nil,4/8/2017
93,15/11/2017,13/12/2017,nil,nil,nil,20/11/2017
94,27/11/2017,16/1/2018,13/2/2018,12/2/2018,6/3/2018,7/3/2018
95,3/10/2017,1/11/2017,nil,nil,nil,15/12/2017
96,29/8/2017,26/9/2017,nil,31/8/2017,nil,Answered through data team - date of response not recorded
97,8/12/2017,29/1/2018,nil,nil,nil,29/1/2018
98,22/9/2017,20/10/2017,nil,20/10/2017,3/11/2017,25/10/2017
99,4/7/2017,1/8/2017,nil,nil,nil,31/7/2017
100,10/7/2017,7/8/2017,nil,nil,nil,7/8/2017
101,8/8/2017,5/9/2017,nil,nil,nil,21/8/2017
102,4/12/2017,23/1/2018,21/2/2018,20/2/2018,21/3/2018,24/4/2018
103,9/10/2017,7/11/2017,nil,nil,nil,16/10/2017
104,19/9/2017,17/10/2017,nil,nil,nil,2/10/2017
105,9/7/2017,4/8/2017,11/9/2017,nil,nil,25/8/2017
106,21/8/2017,18/9/2017,nil,nil,nil,29/8/2017
107,24/7/2017,21/8/2017,nil,nil,nil,21/8/2017
108,29/9/2017,30/10/2017,nil,30/10/2017,23/11/2017,18/12/2017
109,7/7/2017,4/8/2017,nil,4/8/2017,18/8/2017,28/8/2017
110,1/11/2017,29/11/2017,nil,nil,nil,29/11/2017
111,28/8/2017,25/9/2017,24/10/2017,24/10/2017,3/11/2017,8/11/2017
112,13/11/2017,11/12/2017,nil,nil,nil,8/12/2017
113,18/7/2017,15/8/2017,nil,nil,nil,20/7/2017
114,30/10/2017,1/12/2017,nil,nil,nil,30/11/2017
115,2/8/2017,30/8/2017,15/9/2017,15/9/2017,20/10/2017,24/10/2017
116,19/7/2017,16/8/2017,31/8/2017,nil,nil,29/8/2017
117,6/12/2017,25/1/2018,14/3/2018,nil,nil,9/3/2018
118,20/7/2017,17/8/2017,nil,nil,nil,16/8/2017
119,17/7/2017,14/8/2017,nil,nil,nil,14/8/2017
120,20/12/2017,9/2/2018,nil,nil,nil,30/1/2018
121,28/8/2017,25/9/2017,nil,nil,nil,8/9/2017
122,24/11/2017,22/12/2017,nil,nil,nil,21/12/2017
123,22/11/2017,20/12/2017,nil,nil,nil,4/12/2017
124,4/10/2017,2/11/2017,17/11/2017,nil,nil,20/11/2017
125,13/11/2017,11/12/2017,nil,nil,nil,28/2/2018
126,13/7/2017,10/8/2017,nil,nil,nil,9/8/2017
127,21/11/2017,19/12/2017,nil,nil,nil,22/11/2017
128,2/11/2017,30/11/2017,nil,nil,nil,30/11/2017
129,15/8/2017,12/9/2017,nil,nil,nil,18/8/2017
