Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
15/6/2017,10/8/2017,14/7/2017,13/7/2017,No,No,Yes,No
9/6/2017,7/7/2017,3/7/2017,,Yes,No,No,No
15/6/2017,13/7/2017,11/7/2017,,No,No,No,Yes
15/6/2017,13/7/2017,12/7/2017,,Yes,No,No,No
15/6/2017,10/8/2017,9/8/2017,12/7/2017,No,No,Yes,No
15/6/2017,13/7/2017,12/7/2017,,Yes,No,No,No
14/6/2017,12/7/2017,12/7/2017,,No,No,No,No
15/6/2017,14/7/2017,10/7/2017,,No,No,Yes,No
16/6/2017,14/7/2017,11/7/2017,,No,No,No,No
16/6/2017,14/7/2017,14/7/2017,,Yes,No,No,No
16/6/2017,11/8/2017,11/8/2017,,No,No,Yes,No
16/6/2017,14/7/2017,14/7/2017,,Yes,No,No,No
16/6/2017,14/7/2017,11/7/2017,,No,No,Yes,No
16/6/2017,14/7/2017,7/7/2017,,No,No,No,No
19/6/2017,17/7/2017,17/7/2017,,No,No,No,No
19/6/2017,17/7/2017,17/7/2017,,Yes,No,No,No
19/6/2017,11/9/2017,9/8/2017,17/7/2017,No,No,Yes,No
19/6/2017,17/7/2017,13/7/2017,,No,No,Yes,No
19/6/2017,17/7/2017,17/7/2017,,No,No,No,Yes
19/6/2017,17/7/2017,12/7/2017,,Yes,No,No,No
19/6/2017,17/7/2017,17/7/2017,,No,No,No,No
19/6/2017,10/7/2017,10/7/2017,,Yes,No,No,No
20/6/2017,18/7/2017,17/7/2017,,Yes,No,No,No
13/6/2017,11/7/2017,11/7/2017,,No,No,Yes,No
20/6/2017,18/7/2017,17/7/2017,,No,No,Yes,No
20/6/2017,18/7/2017,18/7/2017,,No,No,No,No
20/6/2017,18/7/2017,11/7/2017,,Yes,No,No,No
20/6/2017,18/7/2017,7/7/2017,,No,No,No,Yes
20/6/2017,15/8/2017,7/9/2017,14/7/2017,Yes,No,No,No
20/6/2017,5/7/2017,5/7/2017,,No,No,No,No
20/6/2017,18/7/2017,4/7/2017,,Yes,No,No,No
20/6/2017,18/7/2017,14/7/2017,,Yes,No,No,No
20/6/2017,19/7/2017,6/7/2017,,Yes,No,No,No
20/6/2017,17/7/2017,13/7/2017,,Yes,No,No,No
