Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
10/7/2017,7/8/2017,12/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,10/7/2017,,Yes,No,No,No
7/7/2017,4/8/2017,31/7/2017,,Yes,No,No,No
7/7/2017,1/9/2017,23/8/2017,4/8/2017,No,No,No,Yes
7/7/2017,4/8/2017,1/8/2017,,No,No,No,No
10/7/2017,7/8/2017,20/7/2017,,No,No,No,Yes
10/7/2017,7/8/2017,20/7/2017,,No,No,No,Yes
10/7/2017,7/8/2017,18/7/2017,,Yes,No,No,No
6/7/2017,3/8/2017,3/8/2017,,Yes,No,No,No
10/7/2017,7/8/2017,31/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,18/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,7/8/2017,,Yes,No,No,No
10/7/2017,7/8/2017,10/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,10/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,10/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,31/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,31/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,25/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,25/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,12/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,25/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,25/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,26/7/2017,,Yes,No,No,No
4/7/2017,1/8/2017,19/7/2017,,Yes,No,No,No
11/7/2017,22/8/2017,22/8/2017,,No,No,No,Yes
11/7/2017,8/8/2017,2/8/2017,,No,No,Yes,No
10/7/2017,7/8/2017,20/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,11/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,4/8/2017,,No,No,No,No
11/7/2017,8/8/2017,20/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,25/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,25/7/2017,,Yes,No,No,No
11/7/2017,19/7/2017,19/7/2017,18/7/2017,Yes,No,No,No
11/7/2017,8/8/2017,11/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,12/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,8/8/2017,,No,No,No,No
11/7/2017,8/8/2017,28/7/2017,,Yes,No,No,No
11/7/2017,8/8/2017,24/7/2017,,No,No,No,Yes
11/7/2017,8/8/2017,4/8/2017,,No,No,Yes,No
11/7/2017,5/9/2017,11/8/2017,8/8/2017,No,No,Yes,No
11/7/2017,8/8/2017,24/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,24/7/2017,,Yes,No,No,No
11/7/2017,9/8/2017,28/7/2017,,Yes,No,No,No
11/7/2017,9/8/2017,18/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,4/8/2017,,No,No,Yes,No
12/7/2017,9/8/2017,20/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,12/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,25/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,9/8/2017,,No,No,Yes,No
12/7/2017,19/7/2017,19/7/2017,,No,No,No,No
12/7/2017,4/8/2017,4/8/2017,,Yes,No,No,No
12/7/2017,9/8/2017,18/7/2017,,Yes,No,No,No
12/7/2017,26/7/2017,25/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,24/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,25/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,25/7/2017,,Yes,No,No,No
6/7/2017,4/8/2017,4/8/2017,,Yes,No,No,No
11/7/2017,8/8/2017,2/8/2017,,No,No,No,No
10/7/2017,7/8/2017,24/7/2017,,Yes,No,No,No
10/7/2017,7/8/2017,2/8/2017,,Yes,No,No,No
12/7/2017,9/8/2017,14/7/2017,,No,No,No,No
10/7/2017,7/8/2017,2/8/2017,,No,No,No,No
12/7/2017,9/8/2017,9/8/2017,,No,No,Yes,No
10/7/2017,7/8/2017,7/8/2017,,No,No,Yes,No
10/7/2017,7/8/2017,2/8/2017,,No,No,Yes,No
12/7/2017,6/9/2017,6/9/2017,9/8/2017,No,No,Yes,No
10/7/2017,7/8/2017,7/8/2017,,Yes,No,No,No
12/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,13/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,3/8/2017,,Yes,No,No,No
12/7/2017,9/8/2017,25/7/2017,,No,No,No,Yes
12/7/2017,9/8/2017,24/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,8/8/2017,,Yes,No,No,No
12/7/2017,9/8/2017,25/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,31/7/2017,,No,No,No,No
12/7/2017,9/8/2017,21/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,3/8/2017,,Yes,No,No,No
12/7/2017,9/8/2017,2/8/2017,,Yes,No,No,No
29/6/2017,27/7/2017,25/7/2017,,Yes,No,No,No
13/7/2017,10/8/2017,31/7/2017,,No,No,Yes,No
13/7/2017,10/8/2017,31/7/2017,,No,No,No,No
13/7/2017,10/8/2017,8/8/2017,,Yes,No,No,No
13/7/2017,10/8/2017,21/7/2017,,Yes,No,No,No
13/7/2017,10/8/2017,31/7/2017,,Yes,No,No,No
13/7/2017,10/8/2017,31/7/2017,,No,No,No,Yes
13/7/2017,10/8/2017,3/8/2017,,Yes,No,No,No
13/7/2017,10/8/2017,25/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,24/7/2017,,Yes,No,No,No
13/7/2017,10/8/2017,14/7/2017,,Yes,No,No,No
13/7/2017,11/8/2017,14/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,14/7/2017,,Yes,No,No,No
13/7/2017,11/8/2017,2/8/2017,,Yes,No,No,No
14/7/2017,11/8/2017,4/8/2017,,Yes,No,No,No
14/7/2017,11/8/2017,24/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,25/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,19/7/2017,,Yes,No,No,No
3/7/2017,31/7/2017,24/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,31/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,27/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,14/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,4/8/2017,,Yes,No,No,No
14/7/2017,31/7/2017,17/7/2017,,No,No,No,No
14/7/2017,21/7/2017,21/7/2017,,No,No,No,No
14/7/2017,11/8/2017,25/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,7/8/2017,,No,No,No,No
14/7/2017,11/8/2017,9/8/2017,,Yes,No,No,No
14/7/2017,11/8/2017,19/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,28/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,4/8/2017,,No,No,Yes,No
14/7/2017,11/8/2017,11/8/2017,,No,No,Yes,No
14/7/2017,11/8/2017,11/8/2017,,No,No,No,No
14/7/2017,11/8/2017,31/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,24/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,25/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,31/7/2017,,Yes,No,No,No
14/7/2017,11/8/2017,8/8/2017,,Yes,No,No,No
14/7/2017,11/8/2017,31/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,17/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,3/8/2017,,Yes,No,No,No
17/7/2017,14/8/2017,17/7/2017,,Yes,No,No,No
17/7/2017,21/7/2017,21/7/2017,,No,No,No,No
17/7/2017,21/7/2017,21/7/2017,,No,No,No,No
17/7/2017,14/8/2017,28/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,9/8/2017,,Yes,No,No,No
17/7/2017,14/8/2017,24/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,28/7/2017,,Yes,No,No,No
13/7/2017,11/9/2017,11/9/2017,,No,No,Yes,No
17/7/2017,14/8/2017,19/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,2/8/2017,,Yes,No,No,No
17/7/2017,14/8/2017,17/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,17/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,18/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,28/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,2/8/2017,,Yes,No,No,No
17/7/2017,14/8/2017,31/7/2017,,Yes,No,No,No
12/7/2017,9/8/2017,7/8/2017,,Yes,No,No,No
28/6/2017,27/7/2017,27/7/2017,,No,No,Yes,No
17/7/2017,14/8/2017,4/8/2017,,Yes,No,No,No
17/7/2017,14/8/2017,9/8/2017,,Yes,No,No,No
18/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,28/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,31/7/2017,,Yes,No,No,No
17/7/2017,14/8/2017,4/8/2017,,Yes,No,No,No
18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
17/7/2017,15/8/2017,2/8/2017,,Yes,No,No,No
17/7/2017,14/8/2017,2/8/2017,,Yes,No,No,No
18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,25/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,27/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,9/8/2017,,Yes,No,No,No
18/7/2017,15/8/2017,18/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,21/7/2017,,Yes,No,No,No
13/7/2017,15/8/2017,1/8/2017,,Yes,No,No,No
18/7/2017,15/8/2017,21/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,20/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,9/8/2017,,Yes,No,No,No
18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
18/7/2017,16/8/2017,19/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
18/7/2017,16/8/2017,25/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,25/7/2017,,No,No,No,No
18/7/2017,15/8/2017,15/8/2017,,No,No,Yes,No
18/7/2017,15/8/2017,16/8/2017,,No,No,No,Yes
18/7/2017,15/8/2017,19/7/2017,,Yes,No,No,No
18/7/2017,15/8/2017,20/7/2017,,Yes,No,No,No
18/7/2017,8/9/2017,16/8/2017,12/9/2017,No,No,Yes,No
18/7/2017,15/8/2017,4/8/2017,,No,No,No,No
18/7/2017,1/8/2017,31/7/2017,,Yes,No,No,No
14/7/2017,16/8/2017,11/8/2017,,No,No,Yes,No
18/7/2017,15/8/2017,19/7/2017,,Yes,No,No,No
13/7/2017,16/8/2017,1/8/2017,,Yes,No,No,No
18/7/2017,15/8/2017,19/7/2017,,No,No,No,Yes
18/7/2017,15/8/2017,19/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,4/8/2017,,Yes,No,No,No
19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,11/8/2017,,No,No,No,Yes
19/7/2017,16/8/2017,1/8/2017,,No,No,No,No
19/7/2017,16/8/2017,10/8/2017,,Yes,No,No,No
19/7/2017,16/8/2017,2/8/2017,,No,No,No,No
29/6/2017,24/8/2017,8/8/2017,27/7/2017,No,No,Yes,No
19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,11/8/2017,,Yes,No,No,No
19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
19/7/2017,22/9/2017,21/9/2017,,No,No,Yes,No
19/7/2017,17/8/2017,4/8/2017,,No,No,No,Yes
19/7/2017,16/8/2017,11/8/2017,,No,No,No,No
20/7/2017,17/8/2017,20/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,15/8/2017,,No,No,No,No
19/7/2017,17/8/2017,2/8/2017,,Yes,No,No,No
19/7/2017,17/8/2017,20/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,4/8/2017,,Yes,No,No,No
19/7/2017,16/8/2017,3/8/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
20/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,20/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,20/7/2017,,Yes,No,No,No
20/7/2017,17/8/2017,15/8/2017,,No,No,No,No
20/7/2017,17/8/2017,1/8/2017,,Yes,No,No,No
20/7/2017,17/8/2017,3/8/2017,,Yes,No,No,No
20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
20/7/2017,17/8/2017,17/8/2017,,No,No,Yes,No
20/7/2017,17/8/2017,11/8/2017,,No,No,No,Yes
20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
20/7/2017,17/8/2017,2/8/2017,,Yes,No,No,No
19/7/2017,13/9/2017,8/9/2017,13/9/2017,No,No,Yes,No
20/7/2017,17/8/2017,8/8/2017,,Yes,No,No,No
17/7/2017,16/8/2017,4/8/2017,,No,No,Yes,No
20/7/2017,17/8/2017,31/7/2017,,No,No,No,No
20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
19/7/2017,16/8/2017,8/8/2017,,No,No,No,No
19/7/2017,18/8/2017,18/8/2017,,No,No,Yes,No
20/7/2017,17/8/2017,16/8/2017,,Yes,No,No,No
19/7/2017,16/8/2017,3/8/2017,,No,No,No,No
21/7/2017,18/8/2017,24/7/2017,,No,No,Yes,No
20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
20/7/2017,17/8/2017,2/8/2017,,No,Yes,No,No
20/7/2017,17/8/2017,1/8/2017,,Yes,No,No,No
20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
21/7/2017,27/7/2017,25/7/2017,,No,No,No,No
21/7/2017,27/7/2017,25/7/2017,,No,No,No,No
20/7/2017,17/8/2017,28/7/2017,,No,No,No,Yes
20/7/2017,17/8/2017,16/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,14/8/2017,,No,No,Yes,No
20/7/2017,17/8/2017,17/8/2017,,Yes,No,No,No
20/7/2017,17/8/2017,11/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,14/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,18/8/2017,,Yes,No,No,No
20/7/2017,17/8/2017,17/8/2017,,No,No,No,Yes
21/7/2017,18/8/2017,2/8/2017,,No,No,No,Yes
21/7/2017,18/8/2017,7/8/2017,,No,No,Yes,No
21/7/2017,18/8/2017,21/7/2017,,Yes,No,No,No
21/7/2017,18/8/2017,1/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,24/7/2017,,Yes,No,No,No
21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,14/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,21/7/2017,,Yes,No,No,No
21/7/2017,18/8/2017,27/7/2017,,Yes,No,No,No
21/7/2017,18/8/2017,3/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,28/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,27/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
4/7/2017,1/8/2017,24/7/2017,,No,Yes,No,No
24/7/2017,21/8/2017,1/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,1/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,27/8/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,27/8/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
24/7/2017,28/7/2017,28/7/2017,,No,No,No,No
21/7/2017,18/8/2017,23/8/2017,,No,No,No,No
21/7/2017,18/8/2017,18/8/2017,,No,No,No,No
21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,28/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,3/8/2017,,No,No,No,No
24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,15/8/2017,,No,No,No,Yes
24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,24/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,11/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,27/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,24/7/2017,,Yes,No,No,No
24/7/2017,28/7/2017,28/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,7/8/2017,,No,No,No,No
24/7/2017,21/8/2017,25/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,3/8/2017,,No,No,No,No
12/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,8/8/2017,,No,No,No,No
3/7/2017,31/7/2017,1/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,21/8/2017,,No,No,No,No
24/7/2017,21/8/2017,9/8/2017,,No,No,Yes,No
24/7/2017,21/8/2017,25/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,25/7/2017,,Yes,No,No,No
24/7/2017,21/8/2017,9/8/2017,,No,No,Yes,No
24/7/2017,21/8/2017,27/7/2017,,No,No,Yes,No
24/7/2017,21/8/2017,27/7/2017,,Yes,No,No,No
25/7/2017,22/8/2017,27/7/2017,,Yes,No,No,No
25/7/2017,22/8/2017,4/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,1/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
24/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
25/7/2017,8/8/2017,1/8/2017,,Yes,No,No,No
25/7/2017,8/8/2017,31/7/2017,,Yes,No,No,No
25/7/2017,22/8/2017,7/8/2017,,No,No,No,No
20/7/2017,22/8/2017,17/8/2017,,No,No,Yes,No
25/7/2017,22/8/2017,22/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
25/7/2017,8/8/2017,31/7/2017,,Yes,No,No,No
25/7/2017,22/8/2017,2/8/2017,,No,No,No,Yes
25/7/2017,22/8/2017,1/8/2017,,No,No,Yes,No
25/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,2/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,2/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,18/8/2017,,Yes,No,No,No
25/7/2017,23/8/2017,27/7/2017,,Yes,No,No,No
25/7/2017,22/8/2017,2/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,4/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,18/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,27/7/2017,,Yes,No,No,No
25/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,3/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,28/7/2017,,Yes,No,No,No
26/7/2017,23/8/2017,3/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,2/8/2017,,No,No,No,No
25/7/2017,22/8/2017,4/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,3/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,26/7/2017,,Yes,No,No,No
27/7/2017,24/8/2017,14/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,23/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,2/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,1/8/2017,,Yes,No,No,No
24/7/2017,21/8/2017,7/8/2017,,No,No,No,No
26/7/2017,23/8/2017,7/8/2017,,Yes,No,No,No
27/7/2017,2/10/2017,27/9/2017,,Yes,No,No,No
21/7/2017,18/8/2017,7/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,10/8/2017,,Yes,No,No,No
22/7/2017,18/8/2017,15/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,3/8/2017,,No,No,No,No
26/7/2017,23/8/2017,1/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,3/8/2017,,Yes,No,No,No
26/7/2017,23/8/2017,16/8/2017,,No,No,No,No
27/7/2017,24/8/2017,16/8/2017,,No,No,No,No
27/7/2017,10/8/2017,31/7/2017,,Yes,No,No,No
27/7/2017,24/8/2017,22/8/2017,,No,No,Yes,No
27/7/2017,24/8/2017,4/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,23/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,10/8/2017,,No,No,Yes,No
27/7/2017,24/8/2017,3/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,17/8/2017,,No,No,Yes,No
27/7/2017,24/8/2017,17/8/2017,,Yes,No,No,No
27/7/2017,21/9/2017,18/10/2017,24/8/2017,No,No,Yes,No
27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,23/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,18/8/2017,,No,No,Yes,No
27/7/2017,24/8/2017,3/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,14/8/2017,,No,No,No,No
27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,4/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,27/7/2017,,Yes,No,No,No
27/7/2017,24/8/2017,15/8/2017,,Yes,No,No,No
26/7/2017,13/9/2017,25/9/2017,16/8/2017,No,No,Yes,No
27/7/2017,7/8/2017,3/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,25/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,21/8/2017,,No,No,No,No
26/7/2017,23/8/2017,23/8/2017,,No,No,Yes,No
27/7/2017,24/8/2017,4/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,16/8/2017,,No,No,No,Yes
27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,11/8/2017,,Yes,No,No,No
27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,21/8/2017,,No,No,No,No
28/7/2017,25/8/2017,7/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,7/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,9/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,9/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,3/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,9/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,9/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,28/7/2017,,Yes,No,No,No
28/7/2017,25/8/2017,28/7/2017,,Yes,No,No,No
28/7/2017,25/8/2017,28/7/2017,,Yes,No,No,No
18/7/2017,25/8/2017,25/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,16/8/2017,,Yes,No,No,No
28/7/2017,22/9/2017,15/9/2017,24/8/2017,Yes,No,No,No
28/7/2017,25/8/2017,16/8/2017,,No,No,No,Yes
31/7/2017,25/8/2017,10/8/2017,,No,No,Yes,No
31/7/2017,28/8/2017,7/8/2017,,No,No,No,Yes
31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
31/7/2017,28/8/2017,11/8/2017,,No,No,No,Yes
31/7/2017,25/9/2017,25/9/2017,25/9/2017,No,No,Yes,No
28/7/2017,25/8/2017,11/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,4/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,25/8/2017,,No,No,Yes,No
31/7/2017,20/11/2017,25/8/2017,25/8/2017,No,No,Yes,No
31/7/2017,28/8/2017,14/8/2017,,Yes,No,No,No
28/7/2017,25/8/2017,25/8/2017,,No,No,Yes,No
25/7/2017,22/8/2017,9/8/2017,,No,No,No,No
31/7/2017,28/8/2017,11/8/2017,,No,No,Yes,No
28/7/2017,25/8/2017,11/8/2017,,Yes,No,No,No
31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
29/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
31/7/2017,28/8/2017,21/8/2017,,No,No,No,Yes
31/7/2017,28/8/2017,10/8/2017,,Yes,No,No,No
31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
27/7/2017,28/8/2017,8/8/2017,,Yes,No,No,No
29/7/2017,25/8/2017,22/8/2017,,Yes,No,No,No
25/7/2017,22/8/2017,21/9/2017,,No,No,No,No
27/7/2017,24/8/2017,9/8/2017,,No,No,No,No
