Official Correspondence,Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
Official Information Act,26/7/2017,23/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,26/7/2017,23/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,26/7/2017,23/8/2017,26/7/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,14/8/2017,,Yes,No,No,No
Official Information Act,26/7/2017,23/8/2017,23/8/2017,,Yes,No,No,No
Official Information Act,26/7/2017,23/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,26/7/2017,23/8/2017,1/8/2017,,Yes,No,No,No
Official Information Act,26/7/2017,23/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,4/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,23/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,17/8/2017,,No,No,Yes,No
Official Information Act,27/7/2017,21/9/2017,18/10/2017,24/8/2017,No,No,Yes,No
Official Information Act,27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,23/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,27/7/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,15/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,11/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,28/7/2017,,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,28/7/2017,,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,28/7/2017,,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,16/8/2017,,Yes,No,No,No
Official Information Act,28/7/2017,22/9/2017,15/9/2017,24/8/2017,Yes,No,No,No
Official Information Act,28/7/2017,25/8/2017,16/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,28/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,11/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,25/9/2017,25/9/2017,25/9/2017,No,No,Yes,No
Official Information Act,31/7/2017,28/8/2017,11/8/2017,,No,No,Yes,No
Official Information Act,28/7/2017,25/8/2017,11/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,29/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,21/8/2017,,No,No,No,Yes
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,27/7/2017,28/8/2017,8/8/2017,,Yes,No,No,No
Official Information Act,29/7/2017,25/8/2017,22/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,25/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,31/7/2017,25/8/2017,8/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,27/7/2017,24/8/2017,27/7/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,16/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,31/7/2017,28/8/2017,28/8/2017,,Yes,No,No,No
Official Information Act,1/8/2017,29/8/2017,3/8/2017,,No,No,No,Yes
Official Information Act,1/8/2017,29/8/2017,11/8/2017,,No,No,No,Yes
Official Information Act,1/8/2017,30/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,17/8/2017,,No,No,No,Yes
Official Information Act,2/8/2017,30/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,1/8/2017,29/8/2017,29/8/2017,,Yes,No,No,No
Official Information Act,1/8/2017,29/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,1/8/2017,29/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,29/8/2017,,Yes,No,No,No
Official Information Act,1/8/2017,29/8/2017,23/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,17/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,27/9/2017,1/9/2017,30/8/2017,No,No,Yes,No
Official Information Act,2/8/2017,30/8/2017,29/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,30/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,11/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,11/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,11/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,11/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,29/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,11/8/2017,,No,No,No,Yes
Official Information Act,2/8/2017,31/8/2017,29/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,30/8/2017,15/8/2017,,No,No,No,Yes
Official Information Act,2/8/2017,31/8/2017,8/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,14/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,10/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,28/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,4/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,25/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,31/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,4/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,4/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,4/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,4/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,4/8/2017,,Yes,No,No,No
Official Information Act,1/8/2017,1/9/2017,16/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,31/8/2017,22/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,14/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,9/8/2017,,No,No,No,Yes
Official Information Act,4/8/2017,1/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,7/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,7/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,4/8/2017,1/9/2017,29/8/2017,,No,No,No,Yes
Official Information Act,7/8/2017,4/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,7/8/2017,4/9/2017,15/8/2017,,No,No,No,Yes
Official Information Act,7/8/2017,4/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,6/8/2017,4/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,5/8/2017,4/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,7/8/2017,4/9/2017,7/8/2017,,Yes,No,No,No
Official Information Act,7/8/2017,4/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,7/8/2017,4/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,7/8/2017,4/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,6/8/2017,1/9/2017,10/8/2017,,Yes,No,No,No
Official Information Act,6/8/2017,1/9/2017,11/8/2017,,Yes,No,No,No
Official Information Act,6/8/2017,1/9/2017,16/8/2017,,Yes,No,No,No
Official Information Act,7/8/2017,1/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,7/8/2017,4/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,8/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,5/9/2017,8/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,1/9/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,5/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,5/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,5/9/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,1/9/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,9/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,9/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,8/8/2017,5/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,6/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,24/8/2017,,No,Yes,No,No
Official Information Act,9/8/2017,6/9/2017,23/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,7/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,3/8/2017,7/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,9/8/2017,6/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,10/8/2017,7/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,10/8/2017,7/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,10/8/2017,7/9/2017,22/8/2017,,Yes,No,No,No
Official Information Act,10/8/2017,7/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,10/8/2017,7/9/2017,10/8/2017,,Yes,No,No,No
Official Information Act,10/8/2017,7/9/2017,10/8/2017,,Yes,No,No,No
Official Information Act,10/8/2017,7/9/2017,25/8/2017,,Yes,No,No,No
Official Information Act,11/8/2017,8/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,2/8/2017,8/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,14/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,10/8/2017,7/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,12/8/2017,11/9/2017,18/8/2017,,Yes,No,No,No
Official Information Act,11/8/2017,8/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,10/8/2017,7/9/2017,5/9/2017,,No,No,No,Yes
Official Information Act,10/8/2017,7/9/2017,25/8/2017,,Yes,No,No,No
Official Information Act,11/8/2017,8/9/2017,1/9/2017,,Yes,No,No,No
Official Information Act,11/8/2017,8/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,11/8/2017,8/9/2017,5/9/2017,,Yes,No,No,No
Official Information Act,11/8/2017,8/9/2017,14/8/2017,,Yes,No,No,No
Official Information Act,11/8/2017,8/9/2017,25/8/2017,,No,No,Yes,No
Official Information Act,11/8/2017,8/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,28/8/2017,,No,No,No,Yes
Official Information Act,14/8/2017,11/9/2017,1/9/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,14/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,10/10/2017,15/9/2017,11/9/2017,No,No,Yes,No
Official Information Act,14/8/2017,9/10/2017,15/9/2017,11/9/2017,No,No,No,Yes
Official Information Act,15/8/2017,12/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,12/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,25/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,1/9/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,11/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,14/8/2017,12/9/2017,12/9/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,12/9/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,16/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,12/9/2017,15/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,13/9/2017,16/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,13/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,13/9/2017,30/8/2017,,No,No,No,Yes
Official Information Act,15/8/2017,14/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,15/8/2017,14/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,14/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,14/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,14/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,14/9/2017,25/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,14/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,11/8/2017,14/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,14/9/2017,11/9/2017,,Yes,No,No,No
Official Information Act,16/8/2017,14/9/2017,23/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,14/9/2017,22/8/2017,,Yes,No,No,No
Official Information Act,12/8/2017,14/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,13/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,13/9/2017,23/8/2017,,Yes,No,No,No
Official Information Act,16/8/2017,13/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,14/9/2017,14/9/2017,,Yes,No,No,No
Official Information Act,17/8/2017,14/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,14/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,14/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,14/9/2017,17/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,15/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,15/9/2017,18/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,15/9/2017,12/9/2017,,Yes,No,No,No
Official Information Act,17/8/2017,14/9/2017,14/9/2017,,Yes,No,No,No
Official Information Act,18/8/2017,15/9/2017,12/9/2017,,Yes,No,No,No
Official Information Act,18/8/2017,15/9/2017,13/9/2017,,Yes,No,No,No
Official Information Act,18/8/2017,15/9/2017,12/9/2017,,Yes,No,No,No
Official Information Act,18/8/2017,15/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,17/8/2017,14/9/2017,6/9/2017,,No,No,No,Yes
Official Information Act,18/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,18/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,18/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,18/8/2017,15/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,18/8/2017,18/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,19/8/2017,18/9/2017,1/9/2017,,Yes,No,No,No
Official Information Act,19/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,19/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,19/8/2017,18/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,20/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,20/8/2017,18/9/2017,23/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,12/9/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,20/8/2017,18/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,23/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,21/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,22/8/2017,19/9/2017,24/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,18/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,22/8/2017,19/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,21/8/2017,19/9/2017,18/9/2017,,Yes,No,No,No
Official Information Act,22/8/2017,19/9/2017,18/9/2017,,No,No,No,Yes
Official Information Act,22/8/2017,19/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,22/8/2017,19/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,22/8/2017,19/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,22/8/2017,19/9/2017,29/8/2017,,Yes,No,No,No
Official Information Act,22/8/2017,19/9/2017,24/8/2017,,No,No,No,Yes
Official Information Act,22/8/2017,17/10/2017,6/11/2017,19/9/2017,Yes,No,No,No
Official Information Act,22/8/2017,17/10/2017,17/10/2017,15/9/2017,Yes,No,No,No
Official Information Act,22/8/2017,19/9/2017,19/9/2017,,Yes,No,No,No
Official Information Act,22/8/2017,19/9/2017,23/8/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,19/9/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,23/8/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,28/8/2017,,No,No,No,Yes
Official Information Act,23/8/2017,20/9/2017,23/8/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,19/9/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,23/8/2017,,No,No,No,Yes
Official Information Act,23/8/2017,20/9/2017,23/8/2017,,No,No,No,Yes
Official Information Act,23/8/2017,20/9/2017,23/8/2017,,No,No,No,Yes
Official Information Act,23/8/2017,20/9/2017,29/8/2017,,No,No,No,Yes
Official Information Act,23/8/2017,20/9/2017,20/9/2017,,No,No,Yes,No
Official Information Act,23/8/2017,20/9/2017,13/9/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,24/8/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,15/9/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,23/8/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,12/9/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,5/9/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,23/8/2017,20/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,30/8/2017,,No,No,No,Yes
Official Information Act,23/8/2017,20/9/2017,19/9/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,31/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,20/9/2017,24/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,21/9/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,31/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,13/9/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,24/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,13/9/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,19/9/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,25/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,25/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,25/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,31/8/2017,,Yes,No,No,No
Official Information Act,25/8/2017,22/9/2017,31/8/2017,,Yes,No,No,No
Official Information Act,25/8/2017,22/9/2017,31/8/2017,,Yes,No,No,No
Official Information Act,24/8/2017,21/9/2017,20/9/2017,,No,No,Yes,No
Official Information Act,25/8/2017,22/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,25/8/2017,22/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,25/8/2017,22/9/2017,18/9/2017,,No,No,No,Yes
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,29/8/2017,28/8/2017,,No,No,Yes,No
Official Information Act,25/8/2017,22/9/2017,13/9/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,12/9/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,6/9/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,28/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,27/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,19/9/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,15/9/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,No,No,No,Yes
Official Information Act,28/8/2017,25/9/2017,12/9/2017,,No,No,No,Yes
Official Information Act,28/8/2017,25/9/2017,5/9/2017,,No,No,No,Yes
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
Official Information Act,28/8/2017,25/9/2017,30/8/2017,,Yes,No,No,No
