Official Correspondence,Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
Official Information Act,28/6/2017,26/7/2017,26/7/2017,,Yes,No,No,No
Official Information Act,28/6/2017,26/7/2017,26/7/2017,,Yes,No,No,No
Official Information Act,28/6/2017,26/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,28/6/2017,26/7/2017,20/7/2017,,No,No,No,Yes
Official Information Act,28/6/2017,26/7/2017,12/7/2017,,Yes,No,No,No
Official Information Act,28/6/2017,26/7/2017,12/7/2017,,Yes,No,No,No
Official Information Act,28/6/2017,26/7/2017,12/7/2017,,Yes,No,No,No
Official Information Act,28/6/2017,26/7/2017,12/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,21/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,26/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,12/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,10/7/2017,,No,No,No,Yes
Official Information Act,29/6/2017,27/7/2017,26/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,12/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,7/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,28/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,12/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,26/7/2017,,No,No,Yes,No
Official Information Act,29/6/2017,27/7/2017,24/7/2017,,No,No,Yes,No
Official Information Act,29/6/2017,27/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,27/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,29/6/2017,27/7/2017,25/7/2017,,Yes,No,No,No
Official Information Act,30/6/2017,28/7/2017,5/7/2017,,No,No,No,Yes
Official Information Act,30/6/2017,28/7/2017,14/7/2017,,Yes,No,No,No
Official Information Act,30/6/2017,28/7/2017,28/7/2017,,Yes,No,No,No
Official Information Act,30/6/2017,28/7/2017,4/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,7/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,31/7/2017,,Yes,No,No,No
