,,,,,,
Date Received,Date Answered,If answered on the last day: time sent,If extened; date extension notice sent,If extension notice sent last allowable day; time sent,Duration of extension (working days),Outcome of Request (FR = Full Release; PR = Partial Release; R = Refusal; T = Transfer)
14/09/17,11/10/17,,,,,PR
14/09/17,10/10/17,,,,,FR
14/09/17,26/09/17,,,,,T
13/09/17,4/10/17,,,,,FR
14/09/17,27/10/17,,21/09/17,,23,FR
20/09/17,27/09/17,,,,,FR
6/09/17,27/09/17,,,,,FR
18/09/17,12/10/17,,,,,FR
19/09/17,13/10/17,,,,,T
18/09/17,20/10/17,,13/10/17,,20,PR
20/09/17,3/10/17,,,,,T
21/09/17,26/10/17,09:54:00,13/10/17,,5,FR
22/09/17,17/11/17,11:37:00,19/10/17,,20,FR
22/09/17,26/09/17,,,,,T
25/09/17,2/10/17,,,,,R
26/09/17,26/10/17,,25/10/17,08:39:00,6,FR
27/09/17,25/10/17,,,,,FR
27/09/17,12/10/17,,,,,FR
27/09/17,10/11/17,,13/10/17,,16,PR
27/09/17,4/10/17,,,,,FR
27/09/17,4/10/17,,,,,R
27/09/17,16/10/17,,,,,PR
28/09/17,24/11/17,09:26:00,16/10/17,,20,FR
29/09/17,25/10/17,,,,,FR
29/09/17,11/10/17,,,,,FR
28/09/17,14/11/17,,,,,FR
29/09/17,25/10/17,,,,,FR
14/09/17,6/10/17,,,,,FR
2/10/17,18/10/17,,,,,R
3/10/17,31/10/17,,,,,FR
5/10/17,19/10/17,,,,,FR
5/10/17,2/11/17,,,,,R
9/10/17,6/11/17,,,,,FR
5/10/17,19/10/17,,,,,R
9/10/17,27/10/17,,,,,R
25/09/17,20/10/17,,,,,FR
11/10/17,24/10/17,,,,,R
11/10/17,24/10/17,,,,,PR
9/10/17,27/10/17,,,,,R
9/10/17,27/10/17,,,,,FR
4/10/17,1/11/17,,,,,FR
11/10/17,26/10/17,,,,,PR
12/10/17,13/10/17,,,,,R
9/10/17,7/11/17,10:39:00,,,,FR
12/10/17,8/11/17,,,,,FR
12/10/17,8/11/17,,,,,PR
15/10/17,7/11/17,,,,,R
16/10/17,13/11/17,,,,,FR
12/10/17,9/11/17,,,,,PR
18/10/17,24/10/17,,,,,PR
18/10/17,16/11/17,15:04:00,,,,R
19/10/17,16/11/17,,,,,FR
19/10/17,26/10/17,,,,,T
19/10/17,16/11/17,,,,,PR
20/10/17,7/11/17,,,,,PR
20/10/17,16/11/17,,,,,FR
21/10/17,16/11/17,,,,,PR
20/10/17,28/11/17,,20/11/17,12:46:00,5,PR
20/10/17,10/11/17,,,,,FR
17/10/17,6/11/17,,,,,FR
3/10/17,21/11/17,15:40:00,,,,FR
26/10/17,30/10/17,,,,,R
24/10/17,8/11/17,,,,,FR
25/10/17,21/11/17,,,,,R
20/10/17,13/11/17,,,,,FR
23/10/17,30/10/17,,,,,T
26/10/17,22/11/17,,,,,PR
26/10/17,30/10/17,,,,,R
21/10/17,26/10/17,,,,,R
26/10/17,1/11/17,,,,,R
26/10/17,21/11/17,,,,,R
26/10/17,20/11/17,,,,,FR
26/10/17,22/11/17,,,,,FR
27/10/17,20/11/17,,,,,FR
30/10/17,15/11/17,,,,,R
30/10/17,1/11/17,,,,,PR
29/10/17,30/10/17,,,,,FR
27/10/17,24/11/17,13:40:00,,,,FR
30/10/17,22/11/17,,,,,PR
30/10/17,22/11/17,,,,,R
19/09/17,8/11/17,,,,,R
30/10/17,1/11/17,,,,,R
30/10/17,1/11/17,,,,,R
31/10/17,31/10/17,,,,,R
31/10/17,31/10/17,,,,,R
26/10/17,29/11/17,,22/11/17,,10,FR
29/10/17,21/11/17,,,,,FR
31/10/17,27/11/17,,,,,FR
1/11/17,1/11/17,,,,,R
31/10/17,24/11/17,,,,,FR
1/11/17,29/11/17,09:33:00,,,,FR
31/10/17,2/11/17,,,,,PR
1/11/17,24/11/17,,,,,R
31/10/17,28/11/17,11:50:00,,,,PR
31/10/17,6/12/17,,28/11/17,14:18:00,10,PR
1/11/17,20/12/17,16:20:00,28/11/17,,15,FR
2/11/17,8/11/17,,,,,R
1/11/17,20/11/17,,,,,PR
2/11/17,28/11/17,,,,,R
2/11/17,29/11/17,,,,,FR
3/11/17,6/11/17,,,,,R
4/11/17,8/11/17,,,,,PR
6/11/17,28/11/17,,,,,FR
6/11/17,8/11/17,,,,,R
6/11/17,8/11/17,,,,,R
7/11/17,5/12/17,16:28:00,,,,PR
7/11/17,1/12/17,,,,,FR
7/11/17,4/12/17,,,,,FR
7/11/17,7/12/17,,,,,FR
